"","Name","Rank","Year","Type","Duration","Genre","Rating","MetaScore","Desc","Director_Stars","Votes","Gross"
"68","The Past",68,"-2013","12A","130 min","Drama, Mystery",7.7,85,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce.","Director:
Asghar Farhadi
                 | 
    Stars:
Bérénice Bejo, 
Tahar Rahim, 
Ali Mosaffa, 
Pauline Burlet","",""
"69","The Double Life of Véronique",69,"-1991","15","98 min","Drama, Fantasy, Music",7.7,86,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected.","Director:
Krzysztof Kieslowski
                 | 
    Stars:
Irène Jacob, 
Wladyslaw Kowalski, 
Halina Gryglaszewska, 
Kalina Jedrusik","",""
"70","Jules and Jim",70,"-1962","X","105 min","Drama, Romance",7.7,97,"Decades of a love triangle concerning two friends and an impulsive woman.","Director:
François Truffaut
                 | 
    Stars:
Jeanne Moreau, 
Oskar Werner, 
Henri Serre, 
Vanna Urbino","",""
"71","Fantastic Planet",71,"-1973","A","72 min","Animation, Sci-Fi",7.7,73,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.","Director:
René Laloux
                 | 
    Stars:
Barry Bostwick, 
Jennifer Drake, 
Eric Baugin, 
Jean Topart","",""
"72","The Umbrellas of Cherbourg",72,"-1964","A","91 min","Drama, Musical, Romance",7.8,86,"A young woman separated from her lover by war faces a life-altering decision.","Director:
Jacques Demy
                 | 
    Stars:
Catherine Deneuve, 
Nino Castelnuovo, 
Anne Vernon, 
Marc Michel","",""
"73","My Life as a Courgette",73,"-2016","PG","66 min","Animation, Comedy, Drama",7.8,85,"After losing his mother, a young boy is sent to an orphanage with other orphans his age where he begins to learn the meaning of trust and true love.","Director:
Claude Barras
                 | 
    Stars:
Gaspard Schlatter, 
Sixtine Murat, 
Paulin Jaccoud, 
Michel Vuillermoz","",""
"74","Last Year at Marienbad",74,"-1961","U","94 min","Drama, Mystery",7.7,NA,"In a strange and isolated chateau, a man becomes acquainted with a woman and insists that they have met before.","Director:
Alain Resnais
                 | 
    Stars:
Delphine Seyrig, 
Giorgio Albertazzi, 
Sacha Pitoëff, 
Françoise Bertin","",""
"75","Mon Oncle",75,"-1958","U","116 min","Comedy",7.7,NA,"Monsieur Hulot visits the technology-driven world of his sister, brother-in-law, and nephew, but he can't quite fit into the surroundings.","Director:
Jacques Tati
                 | 
    Stars:
Jacques Tati, 
Jean-Pierre Zola, 
Adrienne Servantie, 
Lucien Frégis","",""
"76","L'Atalante",76,"-1934","A","89 min","Comedy, Drama, Romance",7.8,NA,"Newly married couple Juliette and a ship captain Jean struggle through marriage as they travel on the L'atalante along with the captain's first mate Le père Jules and a cabin boy.","Director:
Jean Vigo
                 | 
    Stars:
Dita Parlo, 
Jean Dasté, 
Gilles Margaritis, 
Louis Lefebvre","",""
"77","Plein Soleil",77,"-1960","A","118 min","Crime, Drama, Thriller",7.7,NA,"Tom Ripley is a talented mimic, moocher, forger and all-around criminal improviser; but there's more to Tom Ripley than even he can guess.","Director:
René Clément
                 | 
    Stars:
Alain Delon, 
Maurice Ronet, 
Marie Laforêt, 
Erno Crisa","",""
"78","Mouchette",78,"-1967","15","81 min","Drama",7.7,NA,"A young girl living in the French countryside suffers constant indignities at the hand of alcoholism and her fellow man.","Director:
Robert Bresson
                 | 
    Stars:
Nadine Nortier, 
Jean-Claude Guilbert, 
Marie Cardinal, 
Paul Hébert","",""
"79","The Snitch",79,"-1962","12A","108 min","Crime, Thriller",7.7,NA,"A burglar betraying other criminals, prepares for a big heist with a trusted friend that might be as untrustworthy as he.","Director:
Jean-Pierre Melville
                 | 
    Stars:
Jean-Paul Belmondo, 
Serge Reggiani, 
Jean Desailly, 
René Lefèvre","",""
"80","The Port of Shadows",80,"-1938","A","91 min","Crime, Drama, Romance",7.7,NA,"A military deserter finds love and trouble (and a small dog) in a foggy, French port city.","Director:
Marcel Carné
                 | 
    Stars:
Jean Gabin, 
Michel Simon, 
Michèle Morgan, 
Pierre Brasseur","",""
"81","Être et Avoir",81,"-2002","U","104 min","Documentary, Family",7.8,87,"A documentary portrait of a one-room school in rural France, where the students (ranging in age from 4 to 11) are educated by a single dedicated teacher.","Director:
Nicolas Philibert
                 | 
    Stars:
Georges Lopez, 
Alizé, 
Axel Thouvenin, 
Guillaume","",""
"82","The Promise",82,"-1996","15","90 min","Drama",7.7,82,"Roger uses his son Igor to ruthlessly traffic and exploit undocumented immigrants. When one of the immigrants is killed, Igor is guilt-ridden and wants to care for the dead man's family against his father's orders.","Directors:
Jean-Pierre Dardenne, 
Luc Dardenne
                 | 
    Stars:
Jérémie Renier, 
Olivier Gourmet, 
Assita Ouedraogo, 
Jean-Michel Balthazar","",""
"83","Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",83,"-1975","","202 min","Drama",7.6,94,"A lonely widowed housewife does her daily chores, takes care of her apartment where she lives with her teenage son, and turns the occasional trick to make ends meet. However, something happens that changes her safe routine.","Director:
Chantal Akerman
                 | 
    Stars:
Delphine Seyrig, 
Jan Decorte, 
Henri Storck, 
Jacques Doniol-Valcroze","",""
"84","Le Jour Se Leve",84,"-1939","PG","93 min","Crime, Drama, Romance",7.7,NA,"After committing a murder, a man locks himself in his apartment and recollects the events that led him to the killing.","Director:
Marcel Carné
                 | 
    Stars:
Jean Gabin, 
Jacqueline Laurent, 
Arletty, 
Jules Berry","",""
"85","Touchez Pas au Grisbi",85,"-1954","X","96 min","Crime, Drama",7.7,85,"An aging, world-weary gangster is double-crossed and forced out of retirement when his best friend is kidnapped and their stash of eight stolen gold bars demanded as ransom.","Director:
Jacques Becker
                 | 
    Stars:
Jean Gabin, 
René Dary, 
Dora Doll, 
Vittorio Sanipoli","",""
"86","Quai des Orfèvres",86,"-1947","PG","106 min","Crime, Drama",7.7,89,"A flirtatious wife runs off to meet an older man and the husband closes in with intend to murder him, but finds the deed already done.","Director:
Henri-Georges Clouzot
                 | 
    Stars:
Louis Jouvet, 
Simone Renant, 
Bernard Blier, 
Suzy Delair","",""
"87","State of Siege",87,"-1972","X","130 min","Crime, Drama, Mystery",7.7,NA,"Using the interrogation of a US counterinsurgency agent as a backdrop, the film explores the consequences of the struggle between Uruguay's government and the leftist Tupamaro guerrillas.","Director:
Costa-Gavras
                 | 
    Stars:
Yves Montand, 
Renato Salvatori, 
O.E. Hasse, 
Jacques Weber","",""
"88","Blue Is the Warmest Colour",88,"-2013","18","180 min","Drama, Romance",7.7,90,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.","Director:
Abdellatif Kechiche
                 | 
    Stars:
Léa Seydoux, 
Adèle Exarchopoulos, 
Salim Kechiouche, 
Aurélien Recoing","",""
"89","An Andalusian Dog",89,"-1929","X","16 min","Short, Fantasy, Horror",7.6,NA,"Luis Buñuel and Salvador Dalí present 16 minutes of bizarre, surreal imagery.","Director:
Luis Buñuel
                 | 
    Stars:
Pierre Batcheff, 
Simone Mareuil, 
Luis Buñuel, 
Pancho Cossío","",""
"90","Belle de Jour",90,"-1967","X","100 min","Drama, Romance",7.7,NA,"A frigid young housewife decides to spend her midweek afternoons as a prostitute.","Director:
Luis Buñuel
                 | 
    Stars:
Catherine Deneuve, 
Jean Sorel, 
Michel Piccoli, 
Geneviève Page","",""
"91","The Tenant",91,"-1976","X","126 min","Drama, Thriller",7.6,71,"A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.","Director:
Roman Polanski
                 | 
    Stars:
Roman Polanski, 
Isabelle Adjani, 
Melvyn Douglas, 
Jo Van Fleet","",""
"92","Le Dîner de Cons",92,"-1998","15","80 min","Comedy",7.6,73,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise.","Director:
Francis Veber
                 | 
    Stars:
Thierry Lhermitte, 
Jacques Villeret, 
Francis Huster, 
Daniel Prévost","",""
"93","Joyeux Noel",93,"-2005","12A","116 min","Drama, History, Music",7.7,70,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.","Director:
Christian Carion
                 | 
    Stars:
Diane Kruger, 
Benno Fürmann, 
Guillaume Canet, 
Natalie Dessay","",""
"94","Eyes Without a Face",94,"-1960","15","90 min","Drama, Horror",7.6,90,"A surgeon causes an accident which leaves his daughter disfigured and goes to extreme lengths to give her a new face.","Director:
Georges Franju
                 | 
    Stars:
Pierre Brasseur, 
Alida Valli, 
Juliette Mayniel, 
Alexandre Rignault","",""
"95","Bande à Part",95,"-1964","A","95 min","Comedy, Crime, Drama",7.6,93,"Two crooks with a fondness for old Hollywood B-movies convince a languages student to help them commit a robbery.","Director:
Jean-Luc Godard
                 | 
    Stars:
Anna Karina, 
Claude Brasseur, 
Danièle Girard, 
Louisa Colpeyn","",""
"96","Pickpocket",96,"-1959","PG","76 min","Crime, Drama",7.6,NA,"Michel passes the time by picking pockets, careful to never be caught despite being watched by the police. His friend Jacques may suspect, while both men may have their eyes on Jeanne, the pretty neighbor of Michel's ailing mother.","Director:
Robert Bresson
                 | 
    Stars:
Martin LaSalle, 
Marika Green, 
Jean Pélégri, 
Dolly Scal","",""
"97","Laurence Anyways",97,"-2012","15","168 min","Drama, Romance",7.6,73,"A drama that charts ten years in a transgender woman's relationship with her lover.","Director:
Xavier Dolan
                 | 
    Stars:
Melvil Poupaud, 
Emmanuel Schwartz, 
Suzanne Clément, 
Nathalie Baye","",""
"98","The Twelve Tasks of Asterix",98,"-1976","U","82 min","Animation, Adventure, Comedy",7.6,NA,"Asterix and Obelix are tasked by Julius Caesar with accomplishing twelve impossible labors to determine the fate of their indomitable Gaulish village.","Directors:
René Goscinny, 
Henri Gruel, 
Albert Uderzo, 
Pierre Watrin
                 | 
    Stars:
Roger Carel, 
Jacques Morel, 
Pierre Tornade, 
Henri Labussière","",""
"99","Stolen Kisses",99,"-1968","X","91 min","Comedy, Drama, Romance",7.6,NA,"After being discharged from the army, Antoine Doinel centers a screwball comedy where he applies for different jobs and tries to make sense of his relationships with women.","Director:
François Truffaut
                 | 
    Stars:
Jean-Pierre Léaud, 
Claude Jade, 
Delphine Seyrig, 
Michael Lonsdale","",""
"100","Bob the Gambler",100,"-1956","PG","98 min","Crime, Drama, Thriller",7.6,80,"After losing big, an aging gambler decides to assemble a team to rob a casino.","Director:
Jean-Pierre Melville
                 | 
    Stars:
Roger Duchesne, 
Isabelle Corey, 
Daniel Cauchy, 
Guy Decomble","",""
"101","A Pure Formality",101,"-1994","PG-13","108 min","Crime, Drama, Thriller",7.6,NA,"Onoff is a famous writer who hasn't published any new books for quite some time and has become a recluse. When he is picked up by the police one stormy night, without any identification, ...                See full summary »","Director:
Giuseppe Tornatore
                 | 
    Stars:
Gérard Depardieu, 
Roman Polanski, 
Sergio Rubini, 
Nicola Di Pinto","",""
"102","Dearest Love",102,"-1971","X","118 min","Comedy, Drama",7.6,NA,"As France is nearing the end of the first Indochina War, an open-minded teenage boy finds himself torn between a rebellious urge to discover love, and the ever-present, almost dominating affection of his beloved mother.","Director:
Louis Malle
                 | 
    Stars:
Lea Massari, 
Benoît Ferreux, 
Daniel Gélin, 
Michael Lonsdale","",""
"103","Train of Life",103,"-1998","12","103 min","Comedy, Drama, War",7.6,62,"In 1941, the inhabitants of a small Jewish village in Central Europe organize a fake deportation train so that they can escape the Nazis and flee to Palestine.","Director:
Radu Mihaileanu
                 | 
    Stars:
Lionel Abelanski, 
Rufus, 
Clément Harari, 
Michel Muller","",""
"104","Claire's Knee",104,"-1970","A","105 min","Drama, Romance",7.5,NA,"On lakeside summer holiday, a conflicted older man is dared to have a flirt with two beautiful teenage half-sisters despite his betrothal to a diplomat's daughter and the fact that the girls have boyfriends.","Director:
Éric Rohmer
                 | 
    Stars:
Jean-Claude Brialy, 
Aurora Cornu, 
Béatrice Romand, 
Laurence de Monaghan","",""
"105","Vagabond",105,"-1985","15","105 min","Drama",7.7,NA,"A young woman's body is found frozen in a ditch. Through flashbacks and interviews, we see the events that led to her inevitable death.","Director:
Agnès Varda
                 | 
    Stars:
Sandrine Bonnaire, 
Macha Méril, 
Stéphane Freiss, 
Setti Ramdane","",""
"106","The Young Girls of Rochefort",106,"-1967","U","120 min","Comedy, Drama, Musical",7.7,NA,"Two sisters leave their small seaside town of Rochefort in search of romance. Hired as carnival singers, one falls for an American musician, while the other must search for her ideal partner.","Director:
Jacques Demy
                 | 
    Stars:
Catherine Deneuve, 
George Chakiris, 
Françoise Dorléac, 
Jacques Perrin","",""
"107","La Belle Noiseuse",107,"-1991","15","238 min","Drama",7.5,NA,"The former famous painter Frenhofer revisits an abandoned project using the girlfriend of a young visiting artist. Questions about truth, life, and artistic limits are explored.","Director:
Jacques Rivette
                 | 
    Stars:
Michel Piccoli, 
Jane Birkin, 
Emmanuelle Béart, 
Marianne Denicourt","",""
"108","Lacombe, Lucien",108,"-1974","12","138 min","Drama, War",7.6,NA,"In 1944, an 18-year old boy from small-town France, collaborates with the Nazi-regime and subsequently falls in love with a Jewish girl.","Director:
Louis Malle
                 | 
    Stars:
Pierre Blaise, 
Aurore Clément, 
Holger Löwenadler, 
Therese Giehse","",""
"109","The Green Ray",109,"-1986","PG","99 min","Drama, Romance",7.6,NA,"It's July, and Delphine has nowhere to go for the summer. She feels very bored and ""empty"", but this won't last; one day she accidently meets someone who seems to be totally made for her...","Director:
Éric Rohmer
                 | 
    Stars:
Marie Rivière, 
María Luisa García, 
Vincent Gauthier, 
Amira Chemakhi","",""
"110","Love in the Afternoon",110,"-1972","AA","97 min","Comedy, Drama, Romance",7.6,NA,"Though he has an adoring wife, a bourgeois man is still tempted to pursue other women.","Director:
Éric Rohmer
                 | 
    Stars:
Bernard Verley, 
Zouzou, 
Françoise Verley, 
Daniel Ceccaldi","",""
"111","Pépé le Moko",111,"-1937","A","94 min","Crime, Drama, Romance",7.7,98,"A wanted gangster is both king and prisoner of the Casbah. He is protected from arrest by his friends, but is torn by his desire for freedom outside. A visiting Parisian beauty may just tempt his fate.","Director:
Julien Duvivier
                 | 
    Stars:
Jean Gabin, 
Gabriel Gabrio, 
Saturnin Fabre, 
Fernand Charpin","",""
"112","The Gleaners and I",112,"-2000","U","82 min","Documentary",7.7,86,"Varda films and interviews gleaners in France in all forms, from those picking fields after the harvest to those scouring the dumpsters of Paris.","Director:
Agnès Varda
                 | 
    Stars:
François Wertheimer, 
Agnès Varda, 
Jean La Planche, 
Bodan Litnanski","",""
"113","Pocket Money",113,"-1976","PG","104 min","Comedy, Drama",7.6,NA,"The lives of a motherless boy, who is just starting to get interested in women, and his physically abused friend, who lives in poverty, are mixed with more or less innocent childhood experiences and challenges of a number of children.","Director:
François Truffaut
                 | 
    Stars:
Georges Desmouceaux, 
Philippe Goldmann, 
Nicole Félix, 
Chantal Mercier","",""
"114","Casque d'Or",114,"-1952","PG","99 min","Crime, Drama, Romance",7.6,NA,"Three gangsters and an ex-con carpenter all fall for the same beautiful golden-haired woman in Belle Époque France.","Director:
Jacques Becker
                 | 
    Stars:
Simone Signoret, 
Serge Reggiani, 
Claude Dauphin, 
Raymond Bussières","",""
"115","La Vie de Bohème",115,"-1992","U","103 min","Comedy, Drama, Romance",7.6,NA,"Three struggling artists try to make passable livings in Paris despite setbacks and tragedies.","Director:
Aki Kaurismäki
                 | 
    Stars:
Matti Pellonpää, 
Evelyne Didi, 
André Wilms, 
Kari Väänänen","",""
"116","My American Uncle",116,"-1980","A","125 min","Comedy, Drama, Romance",7.6,NA,"The intersecting stories of three people who face difficult choices in life-changing situations are used to illustrate the theories espoused by Henri Laborit about human behavior and the relationship between the self and society.","Director:
Alain Resnais
                 | 
    Stars:
Gérard Depardieu, 
Nicole Garcia, 
Roger Pierre, 
Nelly Borgeaud","",""
"117","Le Plaisir",117,"-1952","X","97 min","Comedy, Drama, Romance",7.6,NA,"Three separate stories about the same thing: le plaisir (pleasure).","Director:
Max Ophüls
                 | 
    Stars:
Jean Gabin, 
Danielle Darrieux, 
Simone Simon, 
Claude Dauphin","",""
"118","The Inquisitor",118,"-1981","","87 min","Crime, Drama, Thriller",7.6,NA,"A police inspector, suspecting an attorney of two child sex murders, has him held for a questioning session that goes on for hours.","Director:
Claude Miller
                 | 
    Stars:
Lino Ventura, 
Michel Serrault, 
Romy Schneider, 
Guy Marchand","",""
"119","Que la Bête Meure",119,"-1969","AA","110 min","Crime, Drama, Thriller",7.6,NA,"A man asserts himself within the life of an actress he believes is somehow responsible for his son's death.","Director:
Claude Chabrol
                 | 
    Stars:
Michel Duchaussoy, 
Caroline Cellier, 
Jean Yanne, 
Anouk Ferjac","",""
"120","La Vie En Rose",120,"-2007","12A","140 min","Biography, Drama, Music",7.6,66,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.","Director:
Olivier Dahan
                 | 
    Stars:
Marion Cotillard, 
Sylvie Testud, 
Pascal Greggory, 
Emmanuelle Seigner","",""
"121","Delicatessen",121,"-1991","15","99 min","Comedy, Crime",7.5,66,"Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.","Directors:
Marc Caro, 
Jean-Pierre Jeunet
                 | 
    Stars:
Marie-Laure Dougnac, 
Dominique Pinon, 
Pascal Benezech, 
Jean-Claude Dreyfus","",""
"122","A Very Long Engagement",122,"-2004","15","133 min","Drama, Mystery, Romance",7.6,76,"Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.","Director:
Jean-Pierre Jeunet
                 | 
    Stars:
Audrey Tautou, 
Gaspard Ulliel, 
Jodie Foster, 
Dominique Pinon","",""
"123","Love Me If You Dare",123,"-2003","15","93 min","Comedy, Drama, Romance",7.5,45,"As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another.","Director:
Yann Samuell
                 | 
    Stars:
Guillaume Canet, 
Marion Cotillard, 
Thibault Verhaeghe, 
Joséphine Lebas-Joly","",""
"124","The Big Blue",124,"-1988","15","168 min","Adventure, Drama, Sport",7.5,35,"The rivalry between Enzo and Jacques, two childhood friends and now world-renowned free divers, becomes a beautiful and perilous journey into oneself and the unknown.","Director:
Luc Besson
                 | 
    Stars:
Jean-Marc Barr, 
Jean Reno, 
Rosanna Arquette, 
Paul Shenar","",""
"125","The Red Violin",125,"-1998","15","130 min","Drama, Music, Mystery",7.6,57,"A red-colored violin inspires passion, making its way through three centuries over several owners and countries, eventually ending up at an auction where it may find a new owner.","Director:
François Girard
                 | 
    Stars:
Carlo Cecchi, 
Jean-Luc Bideau, 
Christoph Koncz, 
Jason Flemyng","",""
"126","Pierrot le Fou",126,"-1965","A","110 min","Crime, Drama, Romance",7.4,NA,"Pierrot escapes his boring society and travels from Paris to the Mediterranean Sea with Marianne, a girl chased by hit-men from Algeria. They lead an unorthodox life, always on the run.","Director:
Jean-Luc Godard
                 | 
    Stars:
Jean-Paul Belmondo, 
Anna Karina, 
Graziella Galvani, 
Aicha Abadir","",""
"127","Contempt",127,"-1963","AA","103 min","Drama, Romance",7.5,NA,"Screenwriter Paul Javal's marriage to his wife Camille disintegrates during movie production as she spends time with the producer. Layered conflicts between art and business ensue.","Director:
Jean-Luc Godard
                 | 
    Stars:
Brigitte Bardot, 
Jack Palance, 
Michel Piccoli, 
Giorgia Moll","",""
"128","The Barbarian Invasions",128,"-2003","18","99 min","Comedy, Crime, Drama",7.5,70,"During his final days, a dying man is reunited with old friends, former lovers, his ex-wife, and his estranged son.","Director:
Denys Arcand
                 | 
    Stars:
Rémy Girard, 
Dorothée Berryman, 
Stéphane Rousseau, 
Marie-Josée Croze","",""
"129","I Lost My Body",129,"-2019","12A","81 min","Animation, Drama, Fantasy",7.5,81,"A story of Naoufel, a young man who is in love with Gabrielle. In another part of town, a severed hand escapes from a dissection lab, determined to find its body again.","Director:
Jérémy Clapin
                 | 
    Stars:
Hakim Faris, 
Victoire Du Bois, 
Patrick d'Assumçao, 
Alfonso Arfi","",""
"130","I've Loved You So Long",130,"-2008","12A","117 min","Drama",7.6,79,"A woman struggles to interact with her family and find her place in society after spending fifteen years in prison.","Director:
Philippe Claudel
                 | 
    Stars:
Kristin Scott Thomas, 
Elsa Zylberstein, 
Serge Hazanavicius, 
Laurent Grévill","",""
"131","The Concert",131,"-2009","15","119 min","Comedy, Drama, Music",7.5,60,"Thirty years ago Bolshoi Orchestra conductor Andreï Filipov was fired for hiring Jewish musicians. Now a lowly janitor, an opportunity arises to gather his old musicians to go and pose as the official Buolshoi orchestra in Paris.","Director:
Radu Mihaileanu
                 | 
    Stars:
Aleksey Guskov, 
Mélanie Laurent, 
Dmitriy Nazarov, 
François Berléand","",""
"132","Les Misérables",132,"-2019","15","104 min","Crime, Drama, Thriller",7.6,78,"A cop from the provinces moves to Paris to join the Anti-Crime Brigade of Montfermeil, discovering an underworld where the tensions between the different groups mark the rhythm.","Director:
Ladj Ly
                 | 
    Stars:
Damien Bonnard, 
Alexis Manenti, 
Djebril Zonga, 
Issa Perica","",""
"133","The Girl on the Bridge",133,"-1999","15","90 min","Comedy, Drama, Romance",7.5,75,"One night, a fading entertainer intervenes when a woman contemplates suicide, beginning a strange, unpredictable relationship.","Director:
Patrice Leconte
                 | 
    Stars:
Vanessa Paradis, 
Daniel Auteuil, 
Frédéric Pfluger, 
Dimitris Georgalas","",""
"134","Le Professionnel",134,"-1981","15","108 min","Action, Crime, Drama",7.4,NA,"Victim of a plot which has resulted in his imprisonment in a Central African jail for two years, a French secret agent arrives in Paris to settle accounts.","Director:
Georges Lautner
                 | 
    Stars:
Jean-Paul Belmondo, 
Jean Desailly, 
Cyrielle Clair, 
Marie-Christine Descouard","",""
"135","Masculin Féminin",135,"-1966","X","110 min","Drama, Romance",7.4,93,"A romance between young Parisians, shown through a series of vignettes.","Director:
Jean-Luc Godard
                 | 
    Stars:
Jean-Pierre Léaud, 
Chantal Goya, 
Marlène Jobert, 
Michel Debord","",""
"136","Les Amants du Pont-Neuf",136,"-1991","18","125 min","Drama, Romance",7.6,NA,"Alex, who's homeless and addicted to alcohol, and Michèle, who's losing her sight, form a relationship while sleeping rough on Paris's Pont-Neuf bridge.","Director:
Leos Carax
                 | 
    Stars:
Juliette Binoche, 
Denis Lavant, 
Klaus-Michael Grüber, 
Marion Stalens","",""
"137","A Man and a Woman",137,"-1966","X","102 min","Drama, Romance",7.5,NA,"A widow and a widower find their relationship developing into love, but their past tragedies prove hard to overcome, causing them to proceed with utmost delicacy.","Director:
Claude Lelouch
                 | 
    Stars:
Anouk Aimée, 
Jean-Louis Trintignant, 
Pierre Barouh, 
Valérie Lagrange","",""
"138","The First Day of the Rest of Your Life",138,"-2008","","114 min","Drama",7.6,NA,"Five key days in a family's life.","Director:
Rémi Bezançon
                 | 
    Stars:
Jacques Gamblin, 
Zabou Breitman, 
Déborah François, 
Marc-André Grondin","",""
"139","The Son",139,"-2002","12A","99 min","Drama, Mystery",7.5,86,"A joinery instructor at a rehab center refuses to take a new teen as his apprentice, but then begins to follow the boy through the hallways and streets.","Directors:
Jean-Pierre Dardenne, 
Luc Dardenne
                 | 
    Stars:
Olivier Gourmet, 
Morgan Marinne, 
Isabella Soupart, 
Nassim Hassaïni","",""
"140","A Heart in Winter",140,"-1992","12","105 min","Drama, Music, Romance",7.6,NA,"Stéphane is an emotionally distant but professionally dedicated violin restorer whose cold heart is tested when his employer's new girlfriend, a beautiful violinist, falls for him.","Director:
Claude Sautet
                 | 
    Stars:
Daniel Auteuil, 
Emmanuelle Béart, 
André Dussollier, 
Elizabeth Bourgine","",""
"141","Santa Claus Is a Stinker",141,"-1982","","88 min","Comedy",7.5,NA,"Two neurotics, working for a suicide hotline on the night of Christmas Eve, get caught up in a catastrophe when a pregnant woman, her abusive boyfriend, and a transvestite visit their office.","Director:
Jean-Marie Poiré
                 | 
    Stars:
Anémone, 
Josiane Balasko, 
Marie-Anne Chazel, 
Christian Clavier","",""
"142","Fear City: A Family-Style Comedy",142,"-1994","","100 min","Comedy, Horror",7.5,NA,"A second-class horror movie has to be shown at Cannes Film Festival, but, before each screening, the projectionist is killed by a mysterious fellow, with hammer and sickle, just as it happens in the film to be shown.","Director:
Alain Berbérian
                 | 
    Stars:
Chantal Lauby, 
Alain Chabat, 
Dominique Farrugia, 
Gérard Darmon","",""
"143","La Bête Humaine",143,"-1938","A","100 min","Crime, Drama",7.5,NA,"In this classic adaptation of Emile Zola's novel, a tortured train engineer falls in love with a troubled married woman who has helped her husband commit a murder.","Director:
Jean Renoir
                 | 
    Stars:
Jean Gabin, 
Julien Carette, 
Simone Simon, 
Fernand Ledoux","",""
"144","A Summer's Tale",144,"-1996","U","113 min","Comedy, Drama, Romance",7.6,91,"A shy maths graduate takes a holiday in Dinard before starting his first job. He hopes his sort-of girlfriend will join him, but soon strikes up a friendship with another girl working in ...                See full summary »","Director:
Éric Rohmer
                 | 
    Stars:
Melvil Poupaud, 
Amanda Langlet, 
Gwenaëlle Simon, 
Aurelia Nolin","",""
"145","My Father's Glory",145,"-1990","U","105 min","Adventure, Biography, Drama",7.6,NA,"At the end of the nineteenth century, little Marcel lives with his parents in the Provence countryside. During his holiday, Marcel meets Lili, a local boy who knows all the secrets of the hills, and the two become fast friends.","Director:
Yves Robert
                 | 
    Stars:
Philippe Caubère, 
Nathalie Roussel, 
Didier Pain, 
Thérèse Liotard","",""
"146","Mr. Klein",146,"-1976","AA","123 min","Crime, Drama, Mystery",7.5,NA,"In Nazi-occupied Paris, the immoral art dealer, Robert Klein, leads a life of luxury, until a copy of a Jewish newspaper brings him to the attention of the police, linking him with a mysterious doppelgänger. Will Mr Klein clear his name?","Director:
Joseph Losey
                 | 
    Stars:
Alain Delon, 
Jeanne Moreau, 
Francine Bergé, 
Juliet Berto","",""
"147","Monsieur Hire",147,"-1989","15","81 min","Crime, Drama, Romance",7.5,NA,"A recluse is accused of murdering a young woman simply because his neighbors think he is strange.","Director:
Patrice Leconte
                 | 
    Stars:
Michel Blanc, 
Sandrine Bonnaire, 
Luc Thuillier, 
André Wilms","",""
"148","Toto the Hero",148,"-1991","15","91 min","Comedy, Drama, Fantasy",7.5,NA,"Thomas and Alfred were born around the same time; a fire in the nursery had nurses scrambling to save the newborns. Because he felt that he deserved Alfred's good fortune at being born into...                See full summary »","Director:
Jaco Van Dormael
                 | 
    Stars:
Michel Bouquet, 
Mireille Perrier, 
Jo De Backer, 
Thomas Godet","",""
"149","Lola",149,"-1961","X","90 min","Drama, Romance",7.5,73,"A bored young man meets with his former girlfriend, now a cabaret dancer and single mother, and soon finds himself falling back in love with her.","Director:
Jacques Demy
                 | 
    Stars:
Anouk Aimée, 
Marc Michel, 
Jacques Harden, 
Alan Scott","",""
"150","Le Bonheur",150,"-1965","15","80 min","Drama, Romance",7.6,NA,"François, a young carpenter, lives a happy, uncomplicated life with his wife Thérèse and their two small children. One day he meets Emilie, a clerk in the local post office.","Director:
Agnès Varda
                 | 
    Stars:
Jean-Claude Drouot, 
Marie-France Boyer, 
Marcelle Faure-Bertin, 
Manon Lanclos","",""
"151","Coup de Torchon",151,"-1981","AA","128 min","Comedy, Crime, Drama",7.4,NA,"A pathetic police chief, humiliated by everyone around him, suddenly wants a clean slate in life - and resorts to drastic means to do so.","Director:
Bertrand Tavernier
                 | 
    Stars:
Philippe Noiret, 
Isabelle Huppert, 
Stéphane Audran, 
Jean-Pierre Marielle","",""
